Filename                                                                                                                                             Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
Users/noh/Desktop/Repo/THORVG/src/loaders/lottie/jerryscript/jerry-core/ecma/builtin-objects/ecma-builtin-set-iterator-prototype.cpp                       9                 9     0.00%           2                 2     0.00%          17                17     0.00%           4                 4     0.00%
Users/noh/Desktop/Repo/THORVG/src/loaders/lottie/jerryscript/jerry-core/ecma/builtin-objects/ecma-builtin-set-prototype.cpp                                2                 2     0.00%           1                 1     0.00%           7                 7     0.00%           0                 0         -
Users/noh/Desktop/Repo/THORVG/src/loaders/lottie/jerryscript/jerry-core/ecma/builtin-objects/ecma-builtin-set.cpp                                          6                 6     0.00%           3                 3     0.00%          13                13     0.00%           1                 1     0.00%
Users/noh/Desktop/Repo/THORVG/src/loaders/lottie/jerryscript/jerry-core/ecma/builtin-objects/ecma-builtin-string-iterator-prototype.cpp                   52                52     0.00%           2                 2     0.00%          81                81     0.00%          27                27     0.00%
Users/noh/Desktop/Repo/THORVG/src/loaders/lottie/jerryscript/jerry-core/ecma/builtin-objects/ecma-builtin-string-prototype.cpp                           325               325     0.00%          14                14     0.00%         466               466     0.00%         209               209     0.00%
Users/noh/Desktop/Repo/THORVG/src/loaders/lottie/jerryscript/jerry-core/ecma/builtin-objects/ecma-builtin-string.cpp                                     135               135     0.00%           6                 6     0.00%         206               206     0.00%          71                71     0.00%
Users/noh/Desktop/Repo/THORVG/src/loaders/lottie/jerryscript/jerry-core/ecma/builtin-objects/ecma-builtin-symbol-prototype.cpp                            21                21     0.00%           1                 1     0.00%          26                26     0.00%           9                 9     0.00%
Users/noh/Desktop/Repo/THORVG/src/loaders/lottie/jerryscript/jerry-core/ecma/builtin-objects/ecma-builtin-symbol.cpp                                      70                70     0.00%           5                 5     0.00%         109               109     0.00%          32                32     0.00%
Users/noh/Desktop/Repo/THORVG/src/loaders/lottie/jerryscript/jerry-core/ecma/builtin-objects/ecma-builtin-type-error-thrower.cpp                           8                 8     0.00%           2                 2     0.00%           8                 8     0.00%           2                 2     0.00%
Users/noh/Desktop/Repo/THORVG/src/loaders/lottie/jerryscript/jerry-core/ecma/builtin-objects/ecma-builtin-weakmap-prototype.cpp                            2                 2     0.00%           1                 1     0.00%           7                 7     0.00%           0                 0         -
Users/noh/Desktop/Repo/THORVG/src/loaders/lottie/jerryscript/jerry-core/ecma/builtin-objects/ecma-builtin-weakmap.cpp                                      5                 5     0.00%           2                 2     0.00%          10                10     0.00%           1                 1     0.00%
Users/noh/Desktop/Repo/THORVG/src/loaders/lottie/jerryscript/jerry-core/ecma/builtin-objects/ecma-builtin-weakset-prototype.cpp                            2                 2     0.00%           1                 1     0.00%           7                 7     0.00%           0                 0         -
Users/noh/Desktop/Repo/THORVG/src/loaders/lottie/jerryscript/jerry-core/ecma/builtin-objects/ecma-builtin-weakset.cpp                                      5                 5     0.00%           2                 2     0.00%          10                10     0.00%           1                 1     0.00%
Users/noh/Desktop/Repo/THORVG/src/loaders/lottie/jerryscript/jerry-core/ecma/builtin-objects/ecma-builtins.cpp                                           461               292    36.66%          23                12    47.83%         764               511    33.12%         249               172    30.92%
Users/noh/Desktop/Repo/THORVG/src/loaders/lottie/jerryscript/jerry-core/ecma/builtin-objects/typedarray/ecma-builtin-float32array.cpp                      5                 5     0.00%           2                 2     0.00%           7                 7     0.00%           1                 1     0.00%
Users/noh/Desktop/Repo/THORVG/src/loaders/lottie/jerryscript/jerry-core/ecma/builtin-objects/typedarray/ecma-builtin-int16array.cpp                        5                 5     0.00%           2                 2     0.00%           7                 7     0.00%           1                 1     0.00%
Users/noh/Desktop/Repo/THORVG/src/loaders/lottie/jerryscript/jerry-core/ecma/builtin-objects/typedarray/ecma-builtin-int32array.cpp                        5                 5     0.00%           2                 2     0.00%           7                 7     0.00%           1                 1     0.00%
Users/noh/Desktop/Repo/THORVG/src/loaders/lottie/jerryscript/jerry-core/ecma/builtin-objects/typedarray/ecma-builtin-int8array.cpp                         5                 5     0.00%           2                 2     0.00%           7                 7     0.00%           1                 1     0.00%
Users/noh/Desktop/Repo/THORVG/src/loaders/lottie/jerryscript/jerry-core/ecma/builtin-objects/typedarray/ecma-builtin-typedarray-helpers.cpp               17                17     0.00%           1                 1     0.00%          28                28     0.00%           7                 7     0.00%
Users/noh/Desktop/Repo/THORVG/src/loaders/lottie/jerryscript/jerry-core/ecma/builtin-objects/typedarray/ecma-builtin-typedarray-prototype.cpp            766               766     0.00%          24                24     0.00%        1246              1246     0.00%         490               490     0.00%
Users/noh/Desktop/Repo/THORVG/src/loaders/lottie/jerryscript/jerry-core/ecma/builtin-objects/typedarray/ecma-builtin-typedarray.cpp                       51                51     0.00%           5                 5     0.00%          80                80     0.00%          27                27     0.00%
Users/noh/Desktop/Repo/THORVG/src/loaders/lottie/jerryscript/jerry-core/ecma/builtin-objects/typedarray/ecma-builtin-uint16array.cpp                       5                 5     0.00%           2                 2     0.00%           7                 7     0.00%           1                 1     0.00%
Users/noh/Desktop/Repo/THORVG/src/loaders/lottie/jerryscript/jerry-core/ecma/builtin-objects/typedarray/ecma-builtin-uint32array.cpp                       8                 8     0.00%           2                 2     0.00%           8                 8     0.00%           2                 2     0.00%
Users/noh/Desktop/Repo/THORVG/src/loaders/lottie/jerryscript/jerry-core/ecma/builtin-objects/typedarray/ecma-builtin-uint8array.cpp                        5                 5     0.00%           2                 2     0.00%           7                 7     0.00%           1                 1     0.00%
Users/noh/Desktop/Repo/THORVG/src/loaders/lottie/jerryscript/jerry-core/ecma/builtin-objects/typedarray/ecma-builtin-uint8clampedarray.cpp                 8                 8     0.00%           2                 2     0.00%           8                 8     0.00%           2                 2     0.00%
Users/noh/Desktop/Repo/THORVG/src/loaders/lottie/jerryscript/jerry-core/ecma/operations/ecma-arguments-object.cpp                                        175               175     0.00%           6                 6     0.00%         263               263     0.00%          96                96     0.00%
Users/noh/Desktop/Repo/THORVG/src/loaders/lottie/jerryscript/jerry-core/ecma/operations/ecma-array-object.cpp                                            569               514     9.67%          22                17    22.73%         667               613     8.10%         245               233     4.90%
Users/noh/Desktop/Repo/THORVG/src/loaders/lottie/jerryscript/jerry-core/ecma/operations/ecma-arraybuffer-object.cpp                                      182               182     0.00%          13                13     0.00%         274               274     0.00%          90                90     0.00%
Users/noh/Desktop/Repo/THORVG/src/loaders/lottie/jerryscript/jerry-core/ecma/operations/ecma-async-generator-object.cpp                                  257               257     0.00%           6                 6     0.00%         342               342     0.00%         111               111     0.00%
Users/noh/Desktop/Repo/THORVG/src/loaders/lottie/jerryscript/jerry-core/ecma/operations/ecma-boolean-object.cpp                                            9                 9     0.00%           1                 1     0.00%          26                26     0.00%           6                 6     0.00%
Users/noh/Desktop/Repo/THORVG/src/loaders/lottie/jerryscript/jerry-core/ecma/operations/ecma-comparison.cpp                                              148               148     0.00%           3                 3     0.00%         175               175     0.00%          98                98     0.00%
Users/noh/Desktop/Repo/THORVG/src/loaders/lottie/jerryscript/jerry-core/ecma/operations/ecma-container-object.cpp                                        425               425     0.00%          30                30     0.00%         634               634     0.00%         218               218     0.00%
Users/noh/Desktop/Repo/THORVG/src/loaders/lottie/jerryscript/jerry-core/ecma/operations/ecma-conversion.cpp                                              379               371     2.11%          17                15    11.76%         571               556     2.63%         233               230     1.29%
Users/noh/Desktop/Repo/THORVG/src/loaders/lottie/jerryscript/jerry-core/ecma/operations/ecma-eval.cpp                                                     23                 8    65.22%           2                 1    50.00%          26                11    57.69%           9                 5    44.44%
Users/noh/Desktop/Repo/THORVG/src/loaders/lottie/jerryscript/jerry-core/ecma/operations/ecma-exceptions.cpp                                               78                78     0.00%          11                11     0.00%         150               150     0.00%          30                30     0.00%
Users/noh/Desktop/Repo/THORVG/src/loaders/lottie/jerryscript/jerry-core/ecma/operations/ecma-function-object.cpp                                         643               616     4.20%          42                37    11.90%        1009               964     4.46%         319               307     3.76%
Users/noh/Desktop/Repo/THORVG/src/loaders/lottie/jerryscript/jerry-core/ecma/operations/ecma-get-put-value.cpp                                           121               103    14.88%           3                 2    33.33%         156               136    12.82%          62                53    14.52%
Users/noh/Desktop/Repo/THORVG/src/loaders/lottie/jerryscript/jerry-core/ecma/operations/ecma-iterator-object.cpp                                         197               197     0.00%          14                14     0.00%         323               323     0.00%          93                93     0.00%
Users/noh/Desktop/Repo/THORVG/src/loaders/lottie/jerryscript/jerry-core/ecma/operations/ecma-jobqueue.cpp                                                175               166     5.14%          18                16    11.11%         292               285     2.40%          80                79     1.25%
Users/noh/Desktop/Repo/THORVG/src/loaders/lottie/jerryscript/jerry-core/ecma/operations/ecma-lex-env.cpp                                                 287               244    14.98%          19                14    26.32%         304               258    15.13%         113                99    12.39%
Users/noh/Desktop/Repo/THORVG/src/loaders/lottie/jerryscript/jerry-core/ecma/operations/ecma-number-object.cpp                                            13                13     0.00%           1                 1     0.00%          32                32     0.00%           8                 8     0.00%
Users/noh/Desktop/Repo/THORVG/src/loaders/lottie/jerryscript/jerry-core/ecma/operations/ecma-objects-general.cpp                                         348               300    13.79%           8                 5    37.50%         401               352    12.22%         216               202     6.48%
Users/noh/Desktop/Repo/THORVG/src/loaders/lottie/jerryscript/jerry-core/ecma/operations/ecma-objects.cpp                                                1177               948    19.46%          50                36    28.00%        1744              1454    16.63%         694               578    16.71%
